Predmet,math,logic,programming,design,economics,management,hardware,network,data,testing,language,physical,cluster
6BM0029 ekonómia v praxi,5,4,0,6,10,7,0,0,3,0,0,0,2
6BT0005 telesná výchova 5,0,0,0,0,0,0,0,0,0,0,0,10,1
6UI0007 internet vecí,0,8,8,7,0,0,9,10,0,3,0,0,3
6UM0004 dane a rozpočet,8,6,0,2,10,9,0,0,6,0,0,0,2
6UM0007 podnikové financie,2,4,0,6,10,10,0,0,4,0,0,0,2
6BJ0002 anglický jazyk bc. 2,0,7,2,0,0,8,0,0,0,0,10,0,4
6BX0001 prax,5,5,5,5,5,5,5,5,5,5,5,5,4
6BZ0001 bakalárska práca,5,5,5,5,5,5,5,5,5,5,5,5,4
6BA0003 analýza viacrozmerných dát,7,9,3,0,7,0,0,0,10,5,0,0,0
6BI0009 implementácie UNIXu-LINUX,0,8,8,0,0,0,4,7,0,0,0,0,3
6BI0049 vývoj aplikácií v Unity3D,3,8,8,8,0,0,0,0,0,4,0,0,4
6BI0050 vývoj pokročilých aplikácií,0,10,9,6,0,0,4,8,0,4,0,0,3
6BT0006 telesná výchova 6,0,0,0,0,0,0,0,0,0,0,0,10,1
6UM0005 manažérska komunikácia,0,4,0,4,0,10,0,0,0,0,8,0,4
